N°Obs,incidence,Segment de marché,Niveau de prix
& Other Stories,11,milieu de gamme,Moyen
AALTO,0,luxe & création,
ACNE,403,luxe & création,
Reebok,1023,milieu de gamme,Moyen-Haut
Adidas,6699,milieu de gamme,Moyen-Haut
AF VANDEVORST,0,luxe & création,
AGANOVICH,0,luxe & création,
AGNES B,4,luxe & création,Haut
Aigle,7,milieu de gamme,Moyen-Haut
AKRIS,0,luxe & création,
Alain Figaret,0,premium / luxe abordable,Haut
ALECA DICE KAYEK,0,luxe & création,
ALEXANDER MCQUEEN,1541,luxe & création,
ALTUZZARA,0,luxe & création,
American Vintage,0,milieu de gamme,Moyen-Haut
AMI,0,luxe & création,
André,4,entrée de gamme / mass market,Moyen
ANDREW GN,0,luxe & création,
ANN DEMEULEMEESTER,40,luxe & création,
Antonelle,0,entrée de gamme / mass market,Moyen
APC - Vanessa Seward,0,premium / luxe abordable,Haut
Apostrophe - Georges Rech,0,premium / luxe abordable,Haut
Arbell,0,entrée de gamme / mass market,Moyen
Arena,0,milieu de gamme,Moyen-Haut
Armand Thiery,0,entrée de gamme / mass market,Moyen-Bas
Armor Lux,0,milieu de gamme,Moyen-Haut
Arthur,1,milieu de gamme,Moyen-Haut
Asos,19,entrée de gamme / mass market,
ATLEIN,0,luxe & création,
Aubade,0,premium / luxe abordable,Haut
Autour Du Monde,0,milieu de gamme,Moyen-Haut
AZZARO,2,luxe & création,
Ba&Sh,8,premium / luxe abordable,Haut de gamme
Babou,0,ultra fast fashion / discount,Discount
La Bagagerie,0,premium / luxe abordable,Haut
Balenciaga,2629,luxe & création,Luxe
Balibaris,1,premium / luxe abordable,Haut
BALMAIN,248,luxe & création,
Banana Moon,0,premium / luxe abordable,Haut
BARBARA BUI,34,luxe & création,
Bayard,0,milieu de gamme,Moyen-Haut
Belair,0,entrée de gamme / mass market,Moyen
Benetton,1,entrée de gamme / mass market,Moyen
Bérénice,5,milieu de gamme,Moyen-Haut
BERLUTI,50,luxe & création,
Bershka,30,entrée de gamme / mass market,Bas
Besson,1,entrée de gamme / mass market,Moyen-Bas
Best Mountain,0,entrée de gamme / mass market,Moyen
Bizzbee,0,entrée de gamme / mass market,Moyen-Bas
Blackstore,0,milieu de gamme,Moyen-Haut
Blanc du Nil,0,entrée de gamme / mass market,Moyen-Bas
Bleu Cerise,0,entrée de gamme / mass market,Bas
Blue Box,0,entrée de gamme / mass market,Moyen
Bocage,2,milieu de gamme,Moyen-Haut
Bonobo,0,entrée de gamme / mass market,Moyen-Bas
Bonpoint,3,luxe & création,Luxe
Boohoo,0,ultra fast fashion / discount,
BORIS BIDJAN SABERI,1,luxe & création,
Bottega Veneta,407,luxe & création,Luxe
Bréal ,0,entrée de gamme / mass market,Moyen-Bas
Brice,0,entrée de gamme / mass market,Moyen-Bas
Brunello Cucinelli,201,luxe & création,Luxe
Bruno St Hilaire,0,milieu de gamme,Moyen-Haut
Burberry,680,luxe & création,Luxe
Burton Of London,0,entrée de gamme / mass market,Moyen
C&A,0,entrée de gamme / mass market,Bas
Cache Cache,1,entrée de gamme / mass market,Bas
Café Coton,0,milieu de gamme,Moyen-Haut
Atelier Coton,0,milieu de gamme,Moyen-Haut
Calvin Klein,252,milieu de gamme,Moyen-Haut
Calzedonia,0,entrée de gamme / mass market,Moyen-Bas
Camaïeu,0,entrée de gamme / mass market,Bas
Carhartt,4,milieu de gamme,Moyen-Haut
Caroll,1,milieu de gamme,Moyen-Haut
CARVEN,18,luxe & création,
Catimini,0,premium / luxe abordable,Haut
CCV,0,entrée de gamme / mass market,Moyen
Celine,852,luxe & création,Luxe
Celio,1,entrée de gamme / mass market,Moyen-Bas
CERRUTI 1881,0,luxe & création,
Chanel,1610,luxe & création,Luxe
Charl'Ine,0,milieu de gamme,Moyen-Haut
Chausport,0,entrée de gamme / mass market,Moyen-Bas
Chauss Expo,0,entrée de gamme / mass market,Bas
Chausséa,0,entrée de gamme / mass market,Bas
Chevignon,3,entrée de gamme / mass market,Moyen
Chloé,415,luxe & création,Luxe
CHRISTIAN DIOR,21,luxe & création,
Dior homme,510,luxe & création,Luxe
Dior,942,luxe & création,Luxe
Christine Laure,0,milieu de gamme,Moyen-Haut
Claudie Pierlot,38,premium / luxe abordable,Haut
La Compagnie des Petits,0,entrée de gamme / mass market,Moyen
Compagnie des Petits,0,entrée de gamme / mass market,Moyen
Comptoir des Cotonniers,9,milieu de gamme,Moyen-Haut
Comptoir Irlandais,0,milieu de gamme,Moyen-Haut
Le Comptoir Irlandais,0,milieu de gamme,Moyen-Haut
Cop. Copine,0,milieu de gamme,Moyen-Haut
Le Coq Sportif,112,milieu de gamme,Moyen-Haut
Coq Sportif,0,milieu de gamme,Moyen-Haut
COS,0,milieu de gamme,Moyen-Haut
Cosmoparis,0,milieu de gamme,Moyen-Haut
Cotélac - Acoté,0,milieu de gamme,Moyen-Haut
Courir,0,entrée de gamme / mass market,Moyen
COURREGES,0,luxe & création,
Cyrillus,0,entrée de gamme / mass market,Moyen
Dalery,0,entrée de gamme / mass market,Moyen
Damart,0,entrée de gamme / mass market,Moyen
Darjeeling,0,entrée de gamme / mass market,Moyen
DDP,0,milieu de gamme,Moyen-Haut
Decathlon,0,entrée de gamme / mass market,Bas
Decimas,0,entrée de gamme / mass market,Moyen
Derhy,0,entrée de gamme / mass market,Moyen
Des Petits Hauts,0,milieu de gamme,Moyen-Haut
Desigual,32,entrée de gamme / mass market,Moyen
Devernois,0,milieu de gamme,Moyen-Haut
Devianne,0,entrée de gamme / mass market,Moyen
Devred,0,entrée de gamme / mass market,Moyen-Bas
Diesel,239,premium / luxe abordable,Haut
Dim,0,entrée de gamme / mass market,Moyen-Bas
Eres,0,luxe & création,Luxe
Distri Center,0,entrée de gamme / mass market,Bas
Doré Doré 1819,0,premium / luxe abordable,Haut
DRIES VAN NOTEN,49,luxe & création,
Du Pareil au Même,0,entrée de gamme / mass market,Bas
DUNHILL,14,luxe & création,
Eden Park,1,premium / luxe abordable,Haut
Ekyog,0,milieu de gamme,Moyen-Haut
ELIE SAAB,1,luxe & création,
ELLERY,2,luxe & création,
EMANUEL UNGARO,0,luxe & création,
Éminence ,0,entrée de gamme / mass market,Moyen-Bas
Athena,0,entrée de gamme / mass market,Moyen-Bas
Distribem,0,entrée de gamme / mass market,Moyen-Bas
Endurance Shop,0,entrée de gamme / mass market,Moyen
Éram,4,entrée de gamme / mass market,Moyen-Bas
Giorgio Armani,81,luxe & création,Luxe
Eric Bompard,0,premium / luxe abordable,Haut
Escada,23,premium / luxe abordable,Haut
Espace Foot,0,entrée de gamme / mass market,Moyen
Esprit,9,entrée de gamme / mass market,Moyen
Etam,0,entrée de gamme / mass market,Moyen-Bas
Etam Lingerie,0,entrée de gamme / mass market,Moyen-Bas
ETUDES,0,luxe & création,
Façonnable,3,premium / luxe abordable,Haut
Father And Sons,0,milieu de gamme,Moyen-Haut
Fée Maraboutée,0,entrée de gamme / mass market,Moyen
La Fée Maraboutée,1,entrée de gamme / mass market,Moyen
Fiesta Révolution,0,milieu de gamme,Moyen-Haut
Finsbury,0,premium / luxe abordable,Haut
Foot Locker,0,entrée de gamme / mass market,Moyen
Formul,0,entrée de gamme / mass market,Moyen
FRANCESCO SMALTO,0,luxe & création,
Free Lance,13,premium / luxe abordable,Haut
Furla,30,premium / luxe abordable,Haut
Fusalp,0,premium / luxe abordable,Premium
Gant,36,premium / luxe abordable,Haut
Gap,0,entrée de gamme / mass market,Moyen
Gémo,0,entrée de gamme / mass market,Bas
Geox,178,milieu de gamme,Moyen-Haut
Gerard Darel,7,premium / luxe abordable,Haut
GIAMBATTISTA VALLI,2,luxe & création,
Gucci,4798,luxe & création,Luxe
Givenchy,935,luxe & création,Luxe
Go Sport,0,entrée de gamme / mass market,Bas
Grain De Malice,0,entrée de gamme / mass market,Bas
GRES,0,luxe & création,
G-Star Raw,8,milieu de gamme,Moyen-Haut
J.M. Weston,0,luxe & création,Luxe
Guess,351,milieu de gamme,Moyen-Haut
GUY LAROCHE,1,luxe & création,
H&M,21,entrée de gamme / mass market,Bas
HAIDER ACKERMANN,2,luxe & création,
Halle,0,entrée de gamme / mass market,Bas
La Halle,0,entrée de gamme / mass market,Bas
HENRIK VIBSKOV,0,luxe & création,
Hermès,741,luxe & création,Luxe
Heyraud,0,milieu de gamme,Moyen-Haut
Hollister,0,entrée de gamme / mass market,Moyen-Bas
Hugo Boss,124,premium / luxe abordable,Haut
Hunkemöller,0,entrée de gamme / mass market,Moyen-Bas
I.Code,0,entrée de gamme / mass market,Moyen
Ikks,0,milieu de gamme,Moyen-Haut
Indies,0,premium / luxe abordable,Haut
Intersport,0,entrée de gamme / mass market,Moyen-Bas
Intimissimi,0,entrée de gamme / mass market,Moyen-Bas
Iro,46,premium / luxe abordable,Haut
Isabel Marant,1139,luxe & création,Premium Luxury
ISSEY MIYAKE,9,luxe & création,
Izac,0,entrée de gamme / mass market,Moyen
Jimmy Choo,1199,luxe & création,Luxe
Jacadi,0,milieu de gamme,Moyen-Haut
Jack & Jones,8,entrée de gamme / mass market,Bas
JACQUEMUS,4,luxe & création,
Janine Robin,0,milieu de gamme,Moyen-Haut
Jd - Size?,0,milieu de gamme,Moyen-Haut
JEAN-CLAUDE JITROIS,0,luxe & création,
Jennyfer,0,entrée de gamme / mass market,Bas
Joseph,3,luxe & création,Luxe
JOHN GALLIANO,63,luxe & création,
JOHN RIBBE,0,luxe & création,
Jonak,4,entrée de gamme / mass market,Moyen
Loro Piana,70,luxe & création,Luxe
Jott,3,milieu de gamme,Moyen-Haut
Jules,0,entrée de gamme / mass market,Moyen-Bas
JUNKO SHIMADA,0,luxe & création,
JUUN.J,0,luxe & création,
Kaporal,3,entrée de gamme / mass market,Moyen
Karl Marc John,2,entrée de gamme / mass market,Moyen
Kenzo,395,premium / luxe abordable,Haut
Khaan,0,entrée de gamme / mass market,Bas
Kiabi,0,entrée de gamme / mass market,Bas
Kiwi,0,premium / luxe abordable,Haut
KOCHE,0,luxe & création,
