N°Obs,incidence,Segment de marché,Niveau de prix
& Other Stories,7,milieu de gamme,Moyen
AALTO,10,luxe & création,
ACNE,40,luxe & création,
Reebok,2,milieu de gamme,Moyen-Haut
Adidas,31,milieu de gamme,Moyen-Haut
AF VANDEVORST,4,luxe & création,
AGANOVICH,3,luxe & création,
AGNES B,5,luxe & création,Haut
Aigle,0,milieu de gamme,Moyen-Haut
AKRIS,8,luxe & création,
Alain Figaret,0,premium / luxe abordable,Haut
ALECA DICE KAYEK,0,luxe & création,
ALEXANDER MCQUEEN,32,luxe & création,
ALTUZZARA,0,luxe & création,
American Vintage,4,milieu de gamme,Moyen-Haut
AMI,1,luxe & création,
André,0,entrée de gamme / mass market,Moyen
ANDREW GN,2,luxe & création,
ANN DEMEULEMEESTER,7,luxe & création,
Antonelle,4,entrée de gamme / mass market,Moyen
APC - Vanessa Seward,0,premium / luxe abordable,Haut
Apostrophe - Georges Rech,0,premium / luxe abordable,Haut
Arbell,0,entrée de gamme / mass market,Moyen
Arena,0,milieu de gamme,Moyen-Haut
Armand Thiery,2,entrée de gamme / mass market,Moyen-Bas
Armor Lux,5,milieu de gamme,Moyen-Haut
Arthur,1,milieu de gamme,Moyen-Haut
Asos,6,entrée de gamme / mass market,
ATLEIN,0,luxe & création,
Aubade,1,premium / luxe abordable,Haut
Autour Du Monde,0,milieu de gamme,Moyen-Haut
AZZARO,1,luxe & création,
Ba&Sh,3,premium / luxe abordable,Haut de gamme
Babou,0,ultra fast fashion / discount,Discount
La Bagagerie,0,premium / luxe abordable,Haut
Balenciaga,28,luxe & création,Luxe
Balibaris,7,premium / luxe abordable,Haut
BALMAIN,44,luxe & création,
Banana Moon,1,premium / luxe abordable,Haut
BARBARA BUI,13,luxe & création,
Bayard,0,milieu de gamme,Moyen-Haut
Belair,0,entrée de gamme / mass market,Moyen
Benetton,2,entrée de gamme / mass market,Moyen
Bérénice,43,milieu de gamme,Moyen-Haut
BERLUTI,3,luxe & création,
Bershka,276,entrée de gamme / mass market,Bas
Besson,0,entrée de gamme / mass market,Moyen-Bas
Best Mountain,7,entrée de gamme / mass market,Moyen
Bizzbee,0,entrée de gamme / mass market,Moyen-Bas
Blackstore,0,milieu de gamme,Moyen-Haut
Blanc du Nil,0,entrée de gamme / mass market,Moyen-Bas
Bleu Cerise,0,entrée de gamme / mass market,Bas
Blue Box,0,entrée de gamme / mass market,Moyen
Bocage,0,milieu de gamme,Moyen-Haut
Bonobo,7,entrée de gamme / mass market,Moyen-Bas
Bonpoint,29,luxe & création,Luxe
Boohoo,0,ultra fast fashion / discount,
BORIS BIDJAN SABERI,0,luxe & création,
Bottega Veneta,16,luxe & création,Luxe
Bréal ,5,entrée de gamme / mass market,Moyen-Bas
Brice,0,entrée de gamme / mass market,Moyen-Bas
Brunello Cucinelli,34,luxe & création,Luxe
Bruno St Hilaire,0,milieu de gamme,Moyen-Haut
Burberry,168,luxe & création,Luxe
Burton Of London,0,entrée de gamme / mass market,Moyen
C&A,0,entrée de gamme / mass market,Bas
Cache Cache,0,entrée de gamme / mass market,Bas
Café Coton,0,milieu de gamme,Moyen-Haut
Atelier Coton,0,milieu de gamme,Moyen-Haut
Calvin Klein,22,milieu de gamme,Moyen-Haut
Calzedonia,0,entrée de gamme / mass market,Moyen-Bas
Camaïeu,16,entrée de gamme / mass market,Bas
Carhartt,3,milieu de gamme,Moyen-Haut
Caroll,3,milieu de gamme,Moyen-Haut
CARVEN,8,luxe & création,
Catimini,0,premium / luxe abordable,Haut
CCV,0,entrée de gamme / mass market,Moyen
Celine,37,luxe & création,Luxe
Celio,2,entrée de gamme / mass market,Moyen-Bas
CERRUTI 1881,0,luxe & création,
Chanel,301,luxe & création,Luxe
Charl'Ine,0,milieu de gamme,Moyen-Haut
Chausport,0,entrée de gamme / mass market,Moyen-Bas
Chauss Expo,0,entrée de gamme / mass market,Bas
Chausséa,0,entrée de gamme / mass market,Bas
Chevignon,4,entrée de gamme / mass market,Moyen
Chloé,15,luxe & création,Luxe
CHRISTIAN DIOR,4,luxe & création,
Dior homme,22,luxe & création,Luxe
Dior,80,luxe & création,Luxe
Christine Laure,6,milieu de gamme,Moyen-Haut
Claudie Pierlot,8,premium / luxe abordable,Haut
La Compagnie des Petits,0,entrée de gamme / mass market,Moyen
Compagnie des Petits,0,entrée de gamme / mass market,Moyen
Comptoir des Cotonniers,12,milieu de gamme,Moyen-Haut
Comptoir Irlandais,0,milieu de gamme,Moyen-Haut
Le Comptoir Irlandais,0,milieu de gamme,Moyen-Haut
Cop. Copine,0,milieu de gamme,Moyen-Haut
Le Coq Sportif,18,milieu de gamme,Moyen-Haut
Coq Sportif,0,milieu de gamme,Moyen-Haut
COS,0,milieu de gamme,Moyen-Haut
Cosmoparis,0,milieu de gamme,Moyen-Haut
Cotélac - Acoté,0,milieu de gamme,Moyen-Haut
Courir,0,entrée de gamme / mass market,Moyen
COURREGES,10,luxe & création,
Cyrillus,3,entrée de gamme / mass market,Moyen
Dalery,0,entrée de gamme / mass market,Moyen
Damart,0,entrée de gamme / mass market,Moyen
Darjeeling,1,entrée de gamme / mass market,Moyen
DDP,0,milieu de gamme,Moyen-Haut
Decathlon,0,entrée de gamme / mass market,Bas
Decimas,0,entrée de gamme / mass market,Moyen
Derhy,13,entrée de gamme / mass market,Moyen
Des Petits Hauts,33,milieu de gamme,Moyen-Haut
Desigual,1,entrée de gamme / mass market,Moyen
Devernois,1,milieu de gamme,Moyen-Haut
Devianne,0,entrée de gamme / mass market,Moyen
Devred,3,entrée de gamme / mass market,Moyen-Bas
Diesel,9,premium / luxe abordable,Haut
Dim,0,entrée de gamme / mass market,Moyen-Bas
Eres,0,luxe & création,Luxe
Distri Center,0,entrée de gamme / mass market,Bas
Doré Doré 1819,0,premium / luxe abordable,Haut
DRIES VAN NOTEN,23,luxe & création,
Du Pareil au Même,0,entrée de gamme / mass market,Bas
DUNHILL,6,luxe & création,
Eden Park,1,premium / luxe abordable,Haut
Ekyog,3,milieu de gamme,Moyen-Haut
ELIE SAAB,4,luxe & création,
ELLERY,13,luxe & création,
EMANUEL UNGARO,19,luxe & création,
Éminence ,0,entrée de gamme / mass market,Moyen-Bas
Athena,3,entrée de gamme / mass market,Moyen-Bas
Distribem,0,entrée de gamme / mass market,Moyen-Bas
Endurance Shop,0,entrée de gamme / mass market,Moyen
Éram,0,entrée de gamme / mass market,Moyen-Bas
Giorgio Armani,87,luxe & création,Luxe
Eric Bompard,13,premium / luxe abordable,Haut
Escada,110,premium / luxe abordable,Haut
Espace Foot,0,entrée de gamme / mass market,Moyen
Esprit,7,entrée de gamme / mass market,Moyen
Etam,0,entrée de gamme / mass market,Moyen-Bas
Etam Lingerie,0,entrée de gamme / mass market,Moyen-Bas
ETUDES,18,luxe & création,
Façonnable,3,premium / luxe abordable,Haut
Father And Sons,0,milieu de gamme,Moyen-Haut
Fée Maraboutée,0,entrée de gamme / mass market,Moyen
La Fée Maraboutée,30,entrée de gamme / mass market,Moyen
Fiesta Révolution,0,milieu de gamme,Moyen-Haut
Finsbury,0,premium / luxe abordable,Haut
Foot Locker,0,entrée de gamme / mass market,Moyen
Formul,0,entrée de gamme / mass market,Moyen
FRANCESCO SMALTO,20,luxe & création,
Free Lance,0,premium / luxe abordable,Haut
Furla,0,premium / luxe abordable,Haut
Fusalp,32,premium / luxe abordable,Premium
Gant,0,premium / luxe abordable,Haut
Gap,0,entrée de gamme / mass market,Moyen
Gémo,0,entrée de gamme / mass market,Bas
Geox,0,milieu de gamme,Moyen-Haut
Gerard Darel,18,premium / luxe abordable,Haut
GIAMBATTISTA VALLI,4,luxe & création,
Gucci,162,luxe & création,Luxe
Givenchy,63,luxe & création,Luxe
Go Sport,0,entrée de gamme / mass market,Bas
Grain De Malice,0,entrée de gamme / mass market,Bas
GRES,1,luxe & création,
G-Star Raw,3,milieu de gamme,Moyen-Haut
J.M. Weston,0,luxe & création,Luxe
Guess,5,milieu de gamme,Moyen-Haut
GUY LAROCHE,15,luxe & création,
H&M,18,entrée de gamme / mass market,Bas
HAIDER ACKERMANN,6,luxe & création,
Halle,0,entrée de gamme / mass market,Bas
La Halle,0,entrée de gamme / mass market,Bas
HENRIK VIBSKOV,13,luxe & création,
Hermès,25,luxe & création,Luxe
Heyraud,0,milieu de gamme,Moyen-Haut
Hollister,88,entrée de gamme / mass market,Moyen-Bas
Hugo Boss,80,premium / luxe abordable,Haut
Hunkemöller,2,entrée de gamme / mass market,Moyen-Bas
I.Code,0,entrée de gamme / mass market,Moyen
Ikks,0,milieu de gamme,Moyen-Haut
Indies,0,premium / luxe abordable,Haut
Intersport,0,entrée de gamme / mass market,Moyen-Bas
Intimissimi,17,entrée de gamme / mass market,Moyen-Bas
Iro,13,premium / luxe abordable,Haut
Isabel Marant,12,luxe & création,Premium Luxury
ISSEY MIYAKE,6,luxe & création,
Izac,0,entrée de gamme / mass market,Moyen
Jimmy Choo,1,luxe & création,Luxe
Jacadi,0,milieu de gamme,Moyen-Haut
Jack & Jones,2,entrée de gamme / mass market,Bas
JACQUEMUS,5,luxe & création,
Janine Robin,0,milieu de gamme,Moyen-Haut
Jd - Size?,0,milieu de gamme,Moyen-Haut
JEAN-CLAUDE JITROIS,0,luxe & création,
Jennyfer,27,entrée de gamme / mass market,Bas
Joseph,34,luxe & création,Luxe
JOHN GALLIANO,10,luxe & création,
JOHN RIBBE,0,luxe & création,
Jonak,0,entrée de gamme / mass market,Moyen
Loro Piana,28,luxe & création,Luxe
Jott,0,milieu de gamme,Moyen-Haut
Jules,0,entrée de gamme / mass market,Moyen-Bas
JUNKO SHIMADA,10,luxe & création,
JUUN.J,0,luxe & création,
Kaporal,29,entrée de gamme / mass market,Moyen
Karl Marc John,19,entrée de gamme / mass market,Moyen
Kenzo,46,premium / luxe abordable,Haut
Khaan,0,entrée de gamme / mass market,Bas
Kiabi,0,entrée de gamme / mass market,Bas
Kiwi,0,premium / luxe abordable,Haut
KOCHE,0,luxe & création,
Kookai,3,entrée de gamme / mass market,Moyen-Bas
Lacoste,5,premium / luxe abordable,Haut
Eider,14,milieu de gamme,Moyen-Haut
Millet,0,milieu de gamme,Moyen-Haut
Lafuma,0,milieu de gamme,Moyen-Haut
Lancel,6,premium / luxe abordable,Haut
LANVIN,43,luxe & création,
Laurence Tavernier,1,premium / luxe abordable,Haut
Le Bourget,0,premium / luxe abordable,Haut
LEMAIRE,2,luxe & création,
Leonard,5,luxe & création,Luxe
Levi's,0,milieu de gamme,Moyen-Haut
Levis,0,milieu de gamme,Moyen-Haut
Levi's Store,0,milieu de gamme,Moyen-Haut
Ligne'S,0,entrée de gamme / mass market,Moyen
Liu Jo,0,milieu de gamme,Moyen-Haut
Livy,0,premium / luxe abordable,Haut
Loavies,1,entrée de gamme / mass market,
Loding,0,milieu de gamme,Moyen-Haut
LOEWE,8,luxe & création,
Lolë,0,entrée de gamme / mass market,Moyen
Lollipops,0,milieu de gamme,Moyen-Haut
Longchamp,1,premium / luxe abordable,Haut
