N°Obs,incidence,Segment de marché,Niveau de prix
& Other Stories,81,milieu de gamme,Moyen
AALTO,4,luxe & création,
ACNE,1607,luxe & création,
Reebok,6,milieu de gamme,Moyen-Haut
Adidas,10,milieu de gamme,Moyen-Haut
AF VANDEVORST,0,luxe & création,
AGANOVICH,0,luxe & création,
AGNES B,15,luxe & création,Haut
Aigle,0,milieu de gamme,Moyen-Haut
AKRIS,0,luxe & création,
Alain Figaret,0,premium / luxe abordable,Haut
ALECA DICE KAYEK,0,luxe & création,
ALEXANDER MCQUEEN,134,luxe & création,
ALTUZZARA,0,luxe & création,
American Vintage,59,milieu de gamme,Moyen-Haut
AMI,37,luxe & création,
André,0,entrée de gamme / mass market,Moyen
ANDREW GN,0,luxe & création,
ANN DEMEULEMEESTER,0,luxe & création,
Antonelle,0,entrée de gamme / mass market,Moyen
APC - Vanessa Seward,0,premium / luxe abordable,Haut
Apostrophe - Georges Rech,0,premium / luxe abordable,Haut
Arbell,0,entrée de gamme / mass market,Moyen
Arena,0,milieu de gamme,Moyen-Haut
Armand Thiery,1,entrée de gamme / mass market,Moyen-Bas
Armor Lux,0,milieu de gamme,Moyen-Haut
Arthur,0,milieu de gamme,Moyen-Haut
Asos,57,entrée de gamme / mass market,
ATLEIN,0,luxe & création,
Aubade,0,premium / luxe abordable,Haut
Autour Du Monde,0,milieu de gamme,Moyen-Haut
AZZARO,1,luxe & création,
Ba&Sh,101,premium / luxe abordable,Haut de gamme
Babou,0,ultra fast fashion / discount,Discount
La Bagagerie,0,premium / luxe abordable,Haut
Balenciaga,402,luxe & création,Luxe
Balibaris,4,premium / luxe abordable,Haut
BALMAIN,616,luxe & création,
Banana Moon,0,premium / luxe abordable,Haut
BARBARA BUI,50,luxe & création,
Bayard,0,milieu de gamme,Moyen-Haut
Belair,0,entrée de gamme / mass market,Moyen
Benetton,7,entrée de gamme / mass market,Moyen
Bérénice,14,milieu de gamme,Moyen-Haut
BERLUTI,7,luxe & création,
Bershka,174,entrée de gamme / mass market,Bas
Besson,0,entrée de gamme / mass market,Moyen-Bas
Best Mountain,1,entrée de gamme / mass market,Moyen
Bizzbee,0,entrée de gamme / mass market,Moyen-Bas
Blackstore,0,milieu de gamme,Moyen-Haut
Blanc du Nil,0,entrée de gamme / mass market,Moyen-Bas
Bleu Cerise,0,entrée de gamme / mass market,Bas
Blue Box,0,entrée de gamme / mass market,Moyen
Bocage,0,milieu de gamme,Moyen-Haut
Bonobo,8,entrée de gamme / mass market,Moyen-Bas
Bonpoint,1,luxe & création,Luxe
Boohoo,0,ultra fast fashion / discount,
BORIS BIDJAN SABERI,2,luxe & création,
Bottega Veneta,76,luxe & création,Luxe
Bréal ,0,entrée de gamme / mass market,Moyen-Bas
Brice,0,entrée de gamme / mass market,Moyen-Bas
Brunello Cucinelli,116,luxe & création,Luxe
Bruno St Hilaire,0,milieu de gamme,Moyen-Haut
Burberry,448,luxe & création,Luxe
Burton Of London,0,entrée de gamme / mass market,Moyen
C&A,0,entrée de gamme / mass market,Bas
Cache Cache,0,entrée de gamme / mass market,Bas
Café Coton,0,milieu de gamme,Moyen-Haut
Atelier Coton,0,milieu de gamme,Moyen-Haut
Calvin Klein,332,milieu de gamme,Moyen-Haut
Calzedonia,26,entrée de gamme / mass market,Moyen-Bas
Camaïeu,4,entrée de gamme / mass market,Bas
Carhartt,89,milieu de gamme,Moyen-Haut
Caroll,7,milieu de gamme,Moyen-Haut
CARVEN,5,luxe & création,
Catimini,0,premium / luxe abordable,Haut
CCV,0,entrée de gamme / mass market,Moyen
Celine,149,luxe & création,Luxe
Celio,5,entrée de gamme / mass market,Moyen-Bas
CERRUTI 1881,0,luxe & création,
Chanel,218,luxe & création,Luxe
Charl'Ine,0,milieu de gamme,Moyen-Haut
Chausport,0,entrée de gamme / mass market,Moyen-Bas
Chauss Expo,0,entrée de gamme / mass market,Bas
