N°Obs,incidence,Segment de marché,Niveau de prix
& Other Stories,38,milieu de gamme,Moyen
AALTO,1,luxe & création,
ACNE,310,luxe & création,
Reebok,51,milieu de gamme,Moyen-Haut
Adidas,626,milieu de gamme,Moyen-Haut
AF VANDEVORST,2,luxe & création,
AGANOVICH,1,luxe & création,
AGNES B,28,luxe & création,Haut
Aigle,0,milieu de gamme,Moyen-Haut
AKRIS,4,luxe & création,
Alain Figaret,0,premium / luxe abordable,Haut
ALECA DICE KAYEK,0,luxe & création,
ALEXANDER MCQUEEN,219,luxe & création,
ALTUZZARA,0,luxe & création,
American Vintage,131,milieu de gamme,Moyen-Haut
AMI,34,luxe & création,
André,0,entrée de gamme / mass market,Moyen
ANDREW GN,21,luxe & création,
ANN DEMEULEMEESTER,24,luxe & création,
Antonelle,2,entrée de gamme / mass market,Moyen
APC - Vanessa Seward,0,premium / luxe abordable,Haut
Apostrophe - Georges Rech,0,premium / luxe abordable,Haut
Arbell,0,entrée de gamme / mass market,Moyen
Arena,4,milieu de gamme,Moyen-Haut
Armand Thiery,4,entrée de gamme / mass market,Moyen-Bas
Armor Lux,4,milieu de gamme,Moyen-Haut
Arthur,2,milieu de gamme,Moyen-Haut
Asos,23,entrée de gamme / mass market,
ATLEIN,5,luxe & création,
Aubade,4,premium / luxe abordable,Haut
Autour Du Monde,0,milieu de gamme,Moyen-Haut
AZZARO,1,luxe & création,
Ba&Sh,27,premium / luxe abordable,Haut de gamme
Babou,0,ultra fast fashion / discount,Discount
La Bagagerie,0,premium / luxe abordable,Haut
Balenciaga,349,luxe & création,Luxe
Balibaris,1,premium / luxe abordable,Haut
BALMAIN,300,luxe & création,
Banana Moon,1,premium / luxe abordable,Haut
BARBARA BUI,26,luxe & création,
Bayard,0,milieu de gamme,Moyen-Haut
Belair,0,entrée de gamme / mass market,Moyen
Benetton,6,entrée de gamme / mass market,Moyen
Bérénice,12,milieu de gamme,Moyen-Haut
BERLUTI,3,luxe & création,
Bershka,50,entrée de gamme / mass market,Bas
Besson,0,entrée de gamme / mass market,Moyen-Bas
Best Mountain,7,entrée de gamme / mass market,Moyen
Bizzbee,0,entrée de gamme / mass market,Moyen-Bas
Blackstore,0,milieu de gamme,Moyen-Haut
Blanc du Nil,0,entrée de gamme / mass market,Moyen-Bas
Bleu Cerise,0,entrée de gamme / mass market,Bas
Blue Box,1,entrée de gamme / mass market,Moyen
Bocage,0,milieu de gamme,Moyen-Haut
Bonobo,1,entrée de gamme / mass market,Moyen-Bas
Bonpoint,4,luxe & création,Luxe
Boohoo,0,ultra fast fashion / discount,
BORIS BIDJAN SABERI,3,luxe & création,
Bottega Veneta,82,luxe & création,Luxe
Bréal ,12,entrée de gamme / mass market,Moyen-Bas
Brice,0,entrée de gamme / mass market,Moyen-Bas
Brunello Cucinelli,131,luxe & création,Luxe
Bruno St Hilaire,0,milieu de gamme,Moyen-Haut
Burberry,640,luxe & création,Luxe
Burton Of London,0,entrée de gamme / mass market,Moyen
C&A,0,entrée de gamme / mass market,Bas
Cache Cache,3,entrée de gamme / mass market,Bas
Café Coton,0,milieu de gamme,Moyen-Haut
Atelier Coton,0,milieu de gamme,Moyen-Haut
Calvin Klein,175,milieu de gamme,Moyen-Haut
Calzedonia,8,entrée de gamme / mass market,Moyen-Bas
Camaïeu,12,entrée de gamme / mass market,Bas
Carhartt,37,milieu de gamme,Moyen-Haut
Caroll,23,milieu de gamme,Moyen-Haut
CARVEN,44,luxe & création,
Catimini,0,premium / luxe abordable,Haut
CCV,0,entrée de gamme / mass market,Moyen
Celine,211,luxe & création,Luxe
Celio,2,entrée de gamme / mass market,Moyen-Bas
CERRUTI 1881,0,luxe & création,
Chanel,145,luxe & création,Luxe
Charl'Ine,0,milieu de gamme,Moyen-Haut
Chausport,0,entrée de gamme / mass market,Moyen-Bas
Chauss Expo,0,entrée de gamme / mass market,Bas
Chausséa,0,entrée de gamme / mass market,Bas
Chevignon,2,entrée de gamme / mass market,Moyen
Chloé,65,luxe & création,Luxe
CHRISTIAN DIOR,21,luxe & création,
Dior homme,116,luxe & création,Luxe
Dior,252,luxe & création,Luxe
Christine Laure,7,milieu de gamme,Moyen-Haut
Claudie Pierlot,56,premium / luxe abordable,Haut
La Compagnie des Petits,0,entrée de gamme / mass market,Moyen
Compagnie des Petits,0,entrée de gamme / mass market,Moyen
Comptoir des Cotonniers,46,milieu de gamme,Moyen-Haut
Comptoir Irlandais,0,milieu de gamme,Moyen-Haut
Le Comptoir Irlandais,0,milieu de gamme,Moyen-Haut
Cop. Copine,0,milieu de gamme,Moyen-Haut
Le Coq Sportif,4,milieu de gamme,Moyen-Haut
Coq Sportif,0,milieu de gamme,Moyen-Haut
COS,0,milieu de gamme,Moyen-Haut
Cosmoparis,0,milieu de gamme,Moyen-Haut
Cotélac - Acoté,0,milieu de gamme,Moyen-Haut
Courir,0,entrée de gamme / mass market,Moyen
COURREGES,10,luxe & création,
Cyrillus,2,entrée de gamme / mass market,Moyen
Dalery,0,entrée de gamme / mass market,Moyen
Damart,0,entrée de gamme / mass market,Moyen
Darjeeling,2,entrée de gamme / mass market,Moyen
DDP,0,milieu de gamme,Moyen-Haut
Decathlon,0,entrée de gamme / mass market,Bas
Decimas,0,entrée de gamme / mass market,Moyen
Derhy,1,entrée de gamme / mass market,Moyen
Des Petits Hauts,15,milieu de gamme,Moyen-Haut
Desigual,91,entrée de gamme / mass market,Moyen
Devernois,1,milieu de gamme,Moyen-Haut
Devianne,0,entrée de gamme / mass market,Moyen
Devred,1,entrée de gamme / mass market,Moyen-Bas
Diesel,260,premium / luxe abordable,Haut
Dim,0,entrée de gamme / mass market,Moyen-Bas
Eres,1,luxe & création,Luxe
Distri Center,0,entrée de gamme / mass market,Bas
Doré Doré 1819,0,premium / luxe abordable,Haut
DRIES VAN NOTEN,165,luxe & création,
Du Pareil au Même,0,entrée de gamme / mass market,Bas
DUNHILL,1,luxe & création,
Eden Park,2,premium / luxe abordable,Haut
Ekyog,6,milieu de gamme,Moyen-Haut
ELIE SAAB,5,luxe & création,
ELLERY,1,luxe & création,
EMANUEL UNGARO,18,luxe & création,
Éminence ,0,entrée de gamme / mass market,Moyen-Bas
Athena,0,entrée de gamme / mass market,Moyen-Bas
Distribem,0,entrée de gamme / mass market,Moyen-Bas
Endurance Shop,0,entrée de gamme / mass market,Moyen
Éram,0,entrée de gamme / mass market,Moyen-Bas
Giorgio Armani,46,luxe & création,Luxe
Eric Bompard,106,premium / luxe abordable,Haut
Escada,85,premium / luxe abordable,Haut
Espace Foot,0,entrée de gamme / mass market,Moyen
Esprit,35,entrée de gamme / mass market,Moyen
Etam,3,entrée de gamme / mass market,Moyen-Bas
Etam Lingerie,0,entrée de gamme / mass market,Moyen-Bas
ETUDES,27,luxe & création,
Façonnable,3,premium / luxe abordable,Haut
Father And Sons,0,milieu de gamme,Moyen-Haut
Fée Maraboutée,0,entrée de gamme / mass market,Moyen
La Fée Maraboutée,43,entrée de gamme / mass market,Moyen
Fiesta Révolution,0,milieu de gamme,Moyen-Haut
Finsbury,0,premium / luxe abordable,Haut
Foot Locker,0,entrée de gamme / mass market,Moyen
Formul,0,entrée de gamme / mass market,Moyen
FRANCESCO SMALTO,2,luxe & création,
Free Lance,0,premium / luxe abordable,Haut
Furla,1,premium / luxe abordable,Haut
Fusalp,1,premium / luxe abordable,Premium
Gant,16,premium / luxe abordable,Haut
Gap,0,entrée de gamme / mass market,Moyen
Gémo,0,entrée de gamme / mass market,Bas
Geox,0,milieu de gamme,Moyen-Haut
Gerard Darel,26,premium / luxe abordable,Haut
GIAMBATTISTA VALLI,34,luxe & création,
Gucci,608,luxe & création,Luxe
Givenchy,457,luxe & création,Luxe
Go Sport,0,entrée de gamme / mass market,Bas
Grain De Malice,0,entrée de gamme / mass market,Bas
GRES,0,luxe & création,
G-Star Raw,20,milieu de gamme,Moyen-Haut
J.M. Weston,0,luxe & création,Luxe
Guess,303,milieu de gamme,Moyen-Haut
GUY LAROCHE,1,luxe & création,
H&M,126,entrée de gamme / mass market,Bas
HAIDER ACKERMANN,12,luxe & création,
Halle,0,entrée de gamme / mass market,Bas
La Halle,0,entrée de gamme / mass market,Bas
HENRIK VIBSKOV,3,luxe & création,
Hermès,213,luxe & création,Luxe
Heyraud,0,milieu de gamme,Moyen-Haut
Hollister,85,entrée de gamme / mass market,Moyen-Bas
Hugo Boss,55,premium / luxe abordable,Haut
Hunkemöller,2,entrée de gamme / mass market,Moyen-Bas
I.Code,0,entrée de gamme / mass market,Moyen
Ikks,33,milieu de gamme,Moyen-Haut
Indies,0,premium / luxe abordable,Haut
Intersport,0,entrée de gamme / mass market,Moyen-Bas
Intimissimi,22,entrée de gamme / mass market,Moyen-Bas
Iro,133,premium / luxe abordable,Haut
Isabel Marant,95,luxe & création,Premium Luxury
ISSEY MIYAKE,40,luxe & création,
Izac,1,entrée de gamme / mass market,Moyen
Jimmy Choo,4,luxe & création,Luxe
Jacadi,1,milieu de gamme,Moyen-Haut
Jack & Jones,25,entrée de gamme / mass market,Bas
JACQUEMUS,41,luxe & création,
Janine Robin,0,milieu de gamme,Moyen-Haut
Jd - Size?,0,milieu de gamme,Moyen-Haut
JEAN-CLAUDE JITROIS,0,luxe & création,
Jennyfer,5,entrée de gamme / mass market,Bas
Joseph,44,luxe & création,Luxe
JOHN GALLIANO,54,luxe & création,
JOHN RIBBE,0,luxe & création,
Jonak,0,entrée de gamme / mass market,Moyen
Loro Piana,26,luxe & création,Luxe
Jott,0,milieu de gamme,Moyen-Haut
Jules,1,entrée de gamme / mass market,Moyen-Bas
JUNKO SHIMADA,4,luxe & création,
JUUN.J,0,luxe & création,
Kaporal,5,entrée de gamme / mass market,Moyen
Karl Marc John,2,entrée de gamme / mass market,Moyen
Kenzo,365,premium / luxe abordable,Haut
Khaan,0,entrée de gamme / mass market,Bas
Kiabi,0,entrée de gamme / mass market,Bas
Kiwi,0,premium / luxe abordable,Haut
KOCHE,9,luxe & création,
Kookai,14,entrée de gamme / mass market,Moyen-Bas
Lacoste,132,premium / luxe abordable,Haut
Eider,0,milieu de gamme,Moyen-Haut
Millet,0,milieu de gamme,Moyen-Haut
Lafuma,0,milieu de gamme,Moyen-Haut
