N°Obs,incidence,global_incidence,Segment de marché,Niveau de prix
&otherstories,158,0,milieu de gamme,Moyen
aalto,0,0,luxe & création,
acne,204,0,luxe & création,
reebok,3000,1006381,milieu de gamme,Moyen-Haut
adidas,3000,11533365,milieu de gamme,Moyen-Haut
afvandevorst,0,0,luxe & création,
aganovich,0,0,luxe & création,
agnesb,57,0,luxe & création,Haut
aigle,552,0,milieu de gamme,Moyen-Haut
akris,0,0,luxe & création,
alainfigaret,0,0,premium / luxe abordable,Haut
alecadicekayek,0,0,luxe & création,
alexandermcqueen,3000,56411,luxe & création,
altuzzara,0,0,luxe & création,
americanvintage,15,0,milieu de gamme,Moyen-Haut
ami,198,0,luxe & création,
andre,3000,349102,entrée de gamme / mass market,Moyen
andrewgn,0,0,luxe & création,
anndemeulemeester,10,0,luxe & création,
antonelle,1,0,entrée de gamme / mass market,Moyen
apc-vanessaseward,0,0,premium / luxe abordable,Haut
apostrophe-georgesrech,0,0,premium / luxe abordable,Haut
arbell,0,0,entrée de gamme / mass market,Moyen
arena,71,0,milieu de gamme,Moyen-Haut
armandthiery,2,0,entrée de gamme / mass market,Moyen-Bas
armorlux,10,0,milieu de gamme,Moyen-Haut
arthur,1,0,milieu de gamme,Moyen-Haut
asos,2808,0,entrée de gamme / mass market,
atlein,0,0,luxe & création,
aubade,0,0,premium / luxe abordable,Haut
autourdumonde,0,0,milieu de gamme,Moyen-Haut
azzaro,130,0,luxe & création,
ba&sh,138,0,premium / luxe abordable,Haut de gamme
babou,38,0,ultra fast fashion / discount,Discount
labagagerie,0,0,premium / luxe abordable,Haut
balenciaga,3000,98818,luxe & création,Luxe
balibaris,11,0,premium / luxe abordable,Haut
balmain,343,0,luxe & création,
bananamoon,342,0,premium / luxe abordable,Haut
barbarabui,170,0,luxe & création,
bayard,0,0,milieu de gamme,Moyen-Haut
belair,0,0,entrée de gamme / mass market,Moyen
benetton,0,0,entrée de gamme / mass market,Moyen
berenice,80,0,milieu de gamme,Moyen-Haut
berluti,31,0,luxe & création,
bershka,3000,9604364,entrée de gamme / mass market,Bas
besson,936,0,entrée de gamme / mass market,Moyen-Bas
bestmountain,51,0,entrée de gamme / mass market,Moyen
bizzbee,79,0,entrée de gamme / mass market,Moyen-Bas
blackstore,0,0,milieu de gamme,Moyen-Haut
blancdunil,0,0,entrée de gamme / mass market,Moyen-Bas
bleucerise,0,0,entrée de gamme / mass market,Bas
bluebox,552,0,entrée de gamme / mass market,Moyen
bocage,864,0,milieu de gamme,Moyen-Haut
bonobo,600,0,entrée de gamme / mass market,Moyen-Bas
bonpoint,10,0,luxe & création,Luxe
boohoo,331,0,ultra fast fashion / discount,
borisbidjansaberi,0,0,luxe & création,
bottegaveneta,98,0,luxe & création,Luxe
breal,126,0,entrée de gamme / mass market,Moyen-Bas
brice,15,0,entrée de gamme / mass market,Moyen-Bas
brunellocucinelli,70,0,luxe & création,Luxe
brunosthilaire,0,0,milieu de gamme,Moyen-Haut
burberry,1008,0,luxe & création,Luxe
burtonoflondon,0,0,entrée de gamme / mass market,Moyen
c&a,208,0,entrée de gamme / mass market,Bas
cachecache,1152,0,entrée de gamme / mass market,Bas
cafecoton,4,0,milieu de gamme,Moyen-Haut
ateliercoton,0,0,milieu de gamme,Moyen-Haut
calvinklein,3000,1612119,milieu de gamme,Moyen-Haut
calzedonia,14,0,entrée de gamme / mass market,Moyen-Bas
camaieu,1440,0,entrée de gamme / mass market,Bas
carhartt,79,0,milieu de gamme,Moyen-Haut
caroll,205,0,milieu de gamme,Moyen-Haut
carven,84,0,luxe & création,
catimini,13,0,premium / luxe abordable,Haut
ccv,0,0,entrée de gamme / mass market,Moyen
celine,403,0,luxe & création,Luxe
celio,744,0,entrée de gamme / mass market,Moyen-Bas
cerruti1881,8,0,luxe & création,
chanel,792,0,luxe & création,Luxe
charl'ine,0,0,milieu de gamme,Moyen-Haut
chausport,0,0,entrée de gamme / mass market,Moyen-Bas
chaussexpo,0,0,entrée de gamme / mass market,Bas
chaussea,3000,234973,entrée de gamme / mass market,Bas
chevignon,139,0,entrée de gamme / mass market,Moyen
chloe,485,0,luxe & création,Luxe
christiandior,183,0,luxe & création,
diorhomme,0,0,luxe & création,Luxe
dior,2592,0,luxe & création,Luxe
christinelaure,30,0,milieu de gamme,Moyen-Haut
claudiepierlot,912,0,premium / luxe abordable,Haut
lacompagniedespetits,0,0,entrée de gamme / mass market,Moyen
compagniedespetits,0,0,entrée de gamme / mass market,Moyen
comptoirdescotonniers,600,0,milieu de gamme,Moyen-Haut
comptoirirlandais,0,0,milieu de gamme,Moyen-Haut
lecomptoirirlandais,0,0,milieu de gamme,Moyen-Haut
cop.copine,0,0,milieu de gamme,Moyen-Haut
lecoqsportif,3000,383713,milieu de gamme,Moyen-Haut
coqsportif,0,0,milieu de gamme,Moyen-Haut
cos,132,0,milieu de gamme,Moyen-Haut
cosmoparis,409,0,milieu de gamme,Moyen-Haut
cotelac-acote,0,0,milieu de gamme,Moyen-Haut
courreges,5,0,luxe & création,
cyrillus,55,0,entrée de gamme / mass market,Moyen
dalery,4,0,entrée de gamme / mass market,Moyen
damart,385,0,entrée de gamme / mass market,Moyen
darjeeling,2,0,entrée de gamme / mass market,Moyen
ddp,41,0,milieu de gamme,Moyen-Haut
