N°Obs,incidence,global_incidence,Segment de marché,Niveau de prix
&otherstories,435,0,milieu de gamme,Moyen
aalto,6,0,luxe & création,
acne,81,0,luxe & création,
reebok,9,0,milieu de gamme,Moyen-Haut
adidas,226,0,milieu de gamme,Moyen-Haut
afvandevorst,0,0,luxe & création,
aganovich,0,0,luxe & création,
agnesb,600,0,luxe & création,Haut
aigle,29,0,milieu de gamme,Moyen-Haut
akris,55,0,luxe & création,
alainfigaret,121,0,premium / luxe abordable,Haut
alecadicekayek,0,0,luxe & création,
alexandermcqueen,128,0,luxe & création,
altuzzara,0,0,luxe & création,
americanvintage,1224,0,milieu de gamme,Moyen-Haut
ami,57,0,luxe & création,
andre,36,0,entrée de gamme / mass market,Moyen
andrewgn,4,0,luxe & création,
anndemeulemeester,39,0,luxe & création,
antonelle,1512,0,entrée de gamme / mass market,Moyen
apc-vanessaseward,0,0,premium / luxe abordable,Haut
apostrophe-georgesrech,0,0,premium / luxe abordable,Haut
arbell,0,0,entrée de gamme / mass market,Moyen
arena,17,0,milieu de gamme,Moyen-Haut
armandthiery,3000,414345,entrée de gamme / mass market,Moyen-Bas
armorlux,185,0,milieu de gamme,Moyen-Haut
arthur,23,0,milieu de gamme,Moyen-Haut
asos,3000,2717249,entrée de gamme / mass market,
atlein,0,0,luxe & création,
aubade,1,0,premium / luxe abordable,Haut
autourdumonde,0,0,milieu de gamme,Moyen-Haut
azzaro,552,0,luxe & création,
ba&sh,1200,0,premium / luxe abordable,Haut de gamme
babou,28,0,ultra fast fashion / discount,Discount
labagagerie,1,0,premium / luxe abordable,Haut
balenciaga,175,0,luxe & création,Luxe
balibaris,74,0,premium / luxe abordable,Haut
balmain,600,0,luxe & création,
bananamoon,90,0,premium / luxe abordable,Haut
barbarabui,284,0,luxe & création,
bayard,528,0,milieu de gamme,Moyen-Haut
belair,0,0,entrée de gamme / mass market,Moyen
benetton,0,0,entrée de gamme / mass market,Moyen
berenice,364,0,milieu de gamme,Moyen-Haut
berluti,14,0,luxe & création,
bershka,3000,9604364,entrée de gamme / mass market,Bas
besson,3,0,entrée de gamme / mass market,Moyen-Bas
bestmountain,1248,0,entrée de gamme / mass market,Moyen
bizzbee,1512,0,entrée de gamme / mass market,Moyen-Bas
blackstore,0,0,milieu de gamme,Moyen-Haut
blancdunil,10,0,entrée de gamme / mass market,Moyen-Bas
bleucerise,0,0,entrée de gamme / mass market,Bas
bluebox,18,0,entrée de gamme / mass market,Moyen
bocage,1,0,milieu de gamme,Moyen-Haut
bonobo,3000,1249432,entrée de gamme / mass market,Moyen-Bas
bonpoint,73,0,luxe & création,Luxe
boohoo,3000,1661714,ultra fast fashion / discount,
borisbidjansaberi,5,0,luxe & création,
bottegaveneta,40,0,luxe & création,Luxe
breal,1008,0,entrée de gamme / mass market,Moyen-Bas
brice,3000,218351,entrée de gamme / mass market,Moyen-Bas
brunellocucinelli,139,0,luxe & création,Luxe
brunosthilaire,0,0,milieu de gamme,Moyen-Haut
burberry,3000,834851,luxe & création,Luxe
burtonoflondon,105,0,entrée de gamme / mass market,Moyen
c&a,3000,3787640,entrée de gamme / mass market,Bas
cachecache,3000,3167085,entrée de gamme / mass market,Bas
cafecoton,1,0,milieu de gamme,Moyen-Haut
ateliercoton,0,0,milieu de gamme,Moyen-Haut
calvinklein,2448,0,milieu de gamme,Moyen-Haut
calzedonia,34,0,entrée de gamme / mass market,Moyen-Bas
camaieu,3000,4891451,entrée de gamme / mass market,Bas
carhartt,65,0,milieu de gamme,Moyen-Haut
caroll,3000,634082,milieu de gamme,Moyen-Haut
carven,444,0,luxe & création,
catimini,9,0,premium / luxe abordable,Haut
ccv,0,0,entrée de gamme / mass market,Moyen
celine,212,0,luxe & création,Luxe
celio,3000,906547,entrée de gamme / mass market,Moyen-Bas
cerruti1881,401,0,luxe & création,
chanel,201,0,luxe & création,Luxe
charl'ine,0,0,milieu de gamme,Moyen-Haut
chausport,0,0,entrée de gamme / mass market,Moyen-Bas
chaussexpo,0,0,entrée de gamme / mass market,Bas
chaussea,0,0,entrée de gamme / mass market,Bas
chevignon,427,0,entrée de gamme / mass market,Moyen
chloe,177,0,luxe & création,Luxe
christiandior,221,0,luxe & création,
diorhomme,0,0,luxe & création,Luxe
dior,437,0,luxe & création,Luxe
christinelaure,1776,0,milieu de gamme,Moyen-Haut
claudiepierlot,1656,0,premium / luxe abordable,Haut
lacompagniedespetits,6,0,entrée de gamme / mass market,Moyen
compagniedespetits,0,0,entrée de gamme / mass market,Moyen
comptoirdescotonniers,3000,706846,milieu de gamme,Moyen-Haut
comptoirirlandais,0,0,milieu de gamme,Moyen-Haut
lecomptoirirlandais,0,0,milieu de gamme,Moyen-Haut
cop.copine,0,0,milieu de gamme,Moyen-Haut
lecoqsportif,30,0,milieu de gamme,Moyen-Haut
coqsportif,0,0,milieu de gamme,Moyen-Haut
cos,720,0,milieu de gamme,Moyen-Haut
cosmoparis,2,0,milieu de gamme,Moyen-Haut
cotelac-acote,0,0,milieu de gamme,Moyen-Haut
courreges,104,0,luxe & création,
cyrillus,2184,0,entrée de gamme / mass market,Moyen
dalery,0,0,entrée de gamme / mass market,Moyen
damart,1200,0,entrée de gamme / mass market,Moyen
