N°Obs,incidence,global_incidence,Segment de marché,Niveau de prix
&otherstories,2424,0,milieu de gamme,Moyen
aalto,23,0,luxe & création,
acne,3000,22859,luxe & création,
reebok,81,0,milieu de gamme,Moyen-Haut
adidas,960,0,milieu de gamme,Moyen-Haut
afvandevorst,0,0,luxe & création,
aganovich,0,0,luxe & création,
agnesb,278,0,luxe & création,Haut
aigle,454,0,milieu de gamme,Moyen-Haut
akris,0,0,luxe & création,
alainfigaret,3,0,premium / luxe abordable,Haut
alecadicekayek,0,0,luxe & création,
alexandermcqueen,288,0,luxe & création,
altuzzara,0,0,luxe & création,
americanvintage,2520,0,milieu de gamme,Moyen-Haut
ami,203,0,luxe & création,
andre,11,0,entrée de gamme / mass market,Moyen
andrewgn,0,0,luxe & création,
anndemeulemeester,7,0,luxe & création,
antonelle,768,0,entrée de gamme / mass market,Moyen
apc-vanessaseward,0,0,premium / luxe abordable,Haut
apostrophe-georgesrech,0,0,premium / luxe abordable,Haut
arbell,0,0,entrée de gamme / mass market,Moyen
arena,11,0,milieu de gamme,Moyen-Haut
armandthiery,3000,414345,entrée de gamme / mass market,Moyen-Bas
armorlux,576,0,milieu de gamme,Moyen-Haut
arthur,4,0,milieu de gamme,Moyen-Haut
asos,3000,2717249,entrée de gamme / mass market,
atlein,0,0,luxe & création,
aubade,0,0,premium / luxe abordable,Haut
autourdumonde,0,0,milieu de gamme,Moyen-Haut
azzaro,126,0,luxe & création,
ba&sh,2832,0,premium / luxe abordable,Haut de gamme
babou,208,0,ultra fast fashion / discount,Discount
labagagerie,0,0,premium / luxe abordable,Haut
balenciaga,472,0,luxe & création,Luxe
balibaris,196,0,premium / luxe abordable,Haut
balmain,1488,0,luxe & création,
bananamoon,227,0,premium / luxe abordable,Haut
barbarabui,429,0,luxe & création,
bayard,116,0,milieu de gamme,Moyen-Haut
belair,0,0,entrée de gamme / mass market,Moyen
benetton,0,0,entrée de gamme / mass market,Moyen
berenice,2136,0,milieu de gamme,Moyen-Haut
berluti,1,0,luxe & création,
bershka,3000,9604364,entrée de gamme / mass market,Bas
besson,11,0,entrée de gamme / mass market,Moyen-Bas
bestmountain,3000,136733,entrée de gamme / mass market,Moyen
bizzbee,3000,712126,entrée de gamme / mass market,Moyen-Bas
blackstore,0,0,milieu de gamme,Moyen-Haut
blancdunil,7,0,entrée de gamme / mass market,Moyen-Bas
bleucerise,0,0,entrée de gamme / mass market,Bas
bluebox,137,0,entrée de gamme / mass market,Moyen
bocage,11,0,milieu de gamme,Moyen-Haut
bonobo,3000,1249432,entrée de gamme / mass market,Moyen-Bas
bonpoint,131,0,luxe & création,Luxe
boohoo,3000,1661714,ultra fast fashion / discount,
borisbidjansaberi,4,0,luxe & création,
bottegaveneta,20,0,luxe & création,Luxe
breal,3000,176771,entrée de gamme / mass market,Moyen-Bas
brice,3000,218351,entrée de gamme / mass market,Moyen-Bas
brunellocucinelli,106,0,luxe & création,Luxe
brunosthilaire,0,0,milieu de gamme,Moyen-Haut
burberry,3000,834851,luxe & création,Luxe
burtonoflondon,158,0,entrée de gamme / mass market,Moyen
c&a,3000,3787640,entrée de gamme / mass market,Bas
cachecache,3000,3167085,entrée de gamme / mass market,Bas
cafecoton,1,0,milieu de gamme,Moyen-Haut
ateliercoton,0,0,milieu de gamme,Moyen-Haut
calvinklein,3000,1612119,milieu de gamme,Moyen-Haut
calzedonia,3000,425262,entrée de gamme / mass market,Moyen-Bas
