N°Obs,incidence,global_incidence,Segment de marché,Niveau de prix
&otherstories,2976,0,milieu de gamme,Moyen
aalto,10,0,luxe & création,
acne,337,0,luxe & création,
reebok,3000,1006381,milieu de gamme,Moyen-Haut
adidas,3000,11533365,milieu de gamme,Moyen-Haut
afvandevorst,0,0,luxe & création,
aganovich,0,0,luxe & création,
agnesb,768,0,luxe & création,Haut
aigle,1032,0,milieu de gamme,Moyen-Haut
akris,17,0,luxe & création,
alainfigaret,15,0,premium / luxe abordable,Haut
alecadicekayek,0,0,luxe & création,
alexandermcqueen,624,0,luxe & création,
altuzzara,0,0,luxe & création,
americanvintage,3000,267380,milieu de gamme,Moyen-Haut
ami,380,0,luxe & création,
andre,29,0,entrée de gamme / mass market,Moyen
andrewgn,0,0,luxe & création,
anndemeulemeester,20,0,luxe & création,
antonelle,2400,0,entrée de gamme / mass market,Moyen
apc-vanessaseward,0,0,premium / luxe abordable,Haut
apostrophe-georgesrech,0,0,premium / luxe abordable,Haut
arbell,0,0,entrée de gamme / mass market,Moyen
arena,792,0,milieu de gamme,Moyen-Haut
armandthiery,3000,414345,entrée de gamme / mass market,Moyen-Bas
armorlux,1896,0,milieu de gamme,Moyen-Haut
arthur,194,0,milieu de gamme,Moyen-Haut
asos,3000,2717249,entrée de gamme / mass market,
atlein,0,0,luxe & création,
aubade,10,0,premium / luxe abordable,Haut
autourdumonde,0,0,milieu de gamme,Moyen-Haut
azzaro,205,0,luxe & création,
ba&sh,1776,0,premium / luxe abordable,Haut de gamme
babou,552,0,ultra fast fashion / discount,Discount
labagagerie,2,0,premium / luxe abordable,Haut
balenciaga,1800,0,luxe & création,Luxe
balibaris,90,0,premium / luxe abordable,Haut
balmain,2256,0,luxe & création,
bananamoon,2256,0,premium / luxe abordable,Haut
barbarabui,247,0,luxe & création,
bayard,27,0,milieu de gamme,Moyen-Haut
belair,0,0,entrée de gamme / mass market,Moyen
benetton,0,0,entrée de gamme / mass market,Moyen
berenice,3000,89667,milieu de gamme,Moyen-Haut
berluti,12,0,luxe & création,
bershka,3000,9604364,entrée de gamme / mass market,Bas
besson,15,0,entrée de gamme / mass market,Moyen-Bas
bestmountain,3000,136733,entrée de gamme / mass market,Moyen
bizzbee,3000,712126,entrée de gamme / mass market,Moyen-Bas
blackstore,0,0,milieu de gamme,Moyen-Haut
blancdunil,648,0,entrée de gamme / mass market,Moyen-Bas
bleucerise,0,0,entrée de gamme / mass market,Bas
bluebox,293,0,entrée de gamme / mass market,Moyen
bocage,4,0,milieu de gamme,Moyen-Haut
bonobo,3000,1249432,entrée de gamme / mass market,Moyen-Bas
bonpoint,152,0,luxe & création,Luxe
boohoo,3000,1661714,ultra fast fashion / discount,
borisbidjansaberi,11,0,luxe & création,
bottegaveneta,41,0,luxe & création,Luxe
breal,3000,176771,entrée de gamme / mass market,Moyen-Bas
brice,3000,218351,entrée de gamme / mass market,Moyen-Bas
brunellocucinelli,159,0,luxe & création,Luxe
brunosthilaire,0,0,milieu de gamme,Moyen-Haut
burberry,3000,834851,luxe & création,Luxe
burtonoflondon,170,0,entrée de gamme / mass market,Moyen
c&a,3000,3787640,entrée de gamme / mass market,Bas
cachecache,3000,3167085,entrée de gamme / mass market,Bas
cafecoton,22,0,milieu de gamme,Moyen-Haut
ateliercoton,0,0,milieu de gamme,Moyen-Haut
calvinklein,3000,1612119,milieu de gamme,Moyen-Haut
calzedonia,319,0,entrée de gamme / mass market,Moyen-Bas
camaieu,3000,4891451,entrée de gamme / mass market,Bas
carhartt,3000,737019,milieu de gamme,Moyen-Haut
caroll,3000,634082,milieu de gamme,Moyen-Haut
carven,355,0,luxe & création,
catimini,150,0,premium / luxe abordable,Haut
ccv,0,0,entrée de gamme / mass market,Moyen
celine,160,0,luxe & création,Luxe
celio,3000,906547,entrée de gamme / mass market,Moyen-Bas
cerruti1881,236,0,luxe & création,
chanel,72,0,luxe & création,Luxe
charl'ine,0,0,milieu de gamme,Moyen-Haut
chausport,0,0,entrée de gamme / mass market,Moyen-Bas
chaussexpo,0,0,entrée de gamme / mass market,Bas
chaussea,16,0,entrée de gamme / mass market,Bas
chevignon,3000,94092,entrée de gamme / mass market,Moyen
chloe,378,0,luxe & création,Luxe
christiandior,172,0,luxe & création,
diorhomme,0,0,luxe & création,Luxe
dior,744,0,luxe & création,Luxe
christinelaure,3000,86717,milieu de gamme,Moyen-Haut
claudiepierlot,3000,318973,premium / luxe abordable,Haut
lacompagniedespetits,14,0,entrée de gamme / mass market,Moyen
compagniedespetits,0,0,entrée de gamme / mass market,Moyen
comptoirdescotonniers,3000,706846,milieu de gamme,Moyen-Haut
comptoirirlandais,0,0,milieu de gamme,Moyen-Haut
lecomptoirirlandais,0,0,milieu de gamme,Moyen-Haut
cop.copine,0,0,milieu de gamme,Moyen-Haut
lecoqsportif,3000,383713,milieu de gamme,Moyen-Haut
coqsportif,0,0,milieu de gamme,Moyen-Haut
cos,3000,304841,milieu de gamme,Moyen-Haut
cosmoparis,8,0,milieu de gamme,Moyen-Haut
cotelac-acote,0,0,milieu de gamme,Moyen-Haut
courreges,59,0,luxe & création,
cyrillus,2760,0,entrée de gamme / mass market,Moyen
dalery,0,0,entrée de gamme / mass market,Moyen
damart,3000,161683,entrée de gamme / mass market,Moyen
